,name,stock_symbol,security_type,sector,industry,link,price_weblink,pair_ID,exchange_ID,exchange,country,last,pair_change_percent(%),daily_change(%),week_change(%),month_change(%),ytd_change(%),one_year_return(%),3year_change(%),52_week_high,52_week_low,52_week_high_diff(%),52_week_low_diff(%),month_change,summary_5mins,summary_15mins,summary_30mins,summary_hourly,summary_daily,summary_weekly,summary_monthly,market_cap,turnover_volume,average_volume,pe_ratio,revenue,eps,beta,dividend,dividend_yield(%),pe_ratio_TTM,price_to_sales_TTM,price_to_cash_flow_MRQ,price_to_free_cash_flow_TTM,price_to_book_MRQ,price_to_tangible_book_MRQ,eps_MRQ_change_1yr(%),eps_TTM_change_1yr(%),eps_growth_5yr(%),sales_MRQ_change_1yr(%),sales_TTM_change_1yr(%),sales_growth_5yr(%),capitalspending_growth_5yr(%),asset_turnover,inventory_turnover,revenue_per_employee(thousand),netincome_per_employee(thousand),receivable_turnover,gross_margin_TTM(%),gross_margin_5yr(%),operating_margin_TTM(%),operating_margin_5yr(%),pretax_margin_TTM(%),pretax_margin_5yr(%),netprofit_margin_TTM(%),netprofit_margin_5yr(%),quick_ratio,current_ratio,LT_debt_to_equity_MRQ(%),total_debt_to_equity(%),dividend_yield_avg_5yr(%),dividend_growth_rate(%),payout_ratio,ADX,ATR,BullBear,CCI,HL,ROC,RSI,STOCH,STOCHRSI,UO,WilliamsR,MACD,GICS_sector,stock_code,historical_price
195,Paragon Union Bhd,PGON,ORD,Consumer Cyclical,Textiles - Non Apparel,/equities/paragon-union-bhd,https://www.investing.com/equities/paragon-union-bhd-historical-data,950459,62,Kuala Lumpur,Malaysia,0.525,1.94,1.94,-0.94,20.69,128.26,101.92,31.25,0.61,0.18,-13.934426229508,191.66666666667,55.36,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Neutral,Strong Buy,Strong Buy,33970000.0,146000,233362,1944.44,43030000.0,0.0,0.06,,,1944.44,0.85,6.66,315.23,0.89,0.96,-1959.86,101.47,,-65.12,-19.9,2.65,16.88,0.64,1.5,,,4.64,10.05,19.52,1.1,3.4,-1.88,1.68,0.04,1.95,0.45,1.91,36.11,53.91,,,0.0,24.713,0.0243,0.004,-74.2214,0.0,-4.545,58.922,25.463,21.01,41.098,-75.0,0.037,Consumer,9407,"             Date  Price  Open   High    Low     Vol. Change %
0    Nov 27, 2020  0.525  0.51  0.530  0.510  146.00K    1.94%
1    Nov 26, 2020  0.515  0.52  0.520  0.510   49.50K    0.98%
2    Nov 25, 2020  0.510  0.52  0.520  0.510   60.00K   -2.86%
3    Nov 24, 2020  0.525  0.54  0.540  0.525  189.00K   -2.78%
4    Nov 23, 2020  0.540  0.54  0.540  0.530   95.00K    1.89%
..            ...    ...   ...    ...    ...      ...      ...
719  Dec 07, 2015  0.260  0.26  0.260  0.260    9.70K   -8.77%
720  Dec 04, 2015  0.285  0.26  0.285  0.250   60.50K    3.64%
721  Dec 03, 2015  0.275  0.28  0.280  0.260   13.70K   -1.79%
722  Dec 01, 2015  0.280  0.27  0.290  0.260   87.30K    3.70%
723  Nov 30, 2015  0.270  0.27  0.270  0.270    6.60K    0.00%

[724 rows x 7 columns]"
196,Paramount Corporation Bhd,PRMS,ORD,Capital Goods,Construction Services,/equities/paramount-corporation-bhd,https://www.investing.com/equities/paramount-corporation-bhd-historical-data,950473,62,Kuala Lumpur,Malaysia,0.82,1.23,1.23,3.14,15.49,-32.79,-33.87,-31.84,1.44,0.63,-43.055555555556,30.15873015873,-5.33,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Buy,Strong Sell,503840000.0,1426000,580398,107.89,1110000000.0,0.01,1.28,0.04,7.93,107.89,1.04,5.99,21.22,0.3,0.3,-113.33,-87.84,-11.44,-77.67,-19.79,6.72,-7.31,0.17,,228.59,9.55,1.27,,45.93,10.3,20.33,7.72,18.33,4.18,13.73,2.18,2.9,39.94,47.9,6.99,2.3,4237.11,45.477,0.0221,0.054,94.3627,0.0318,18.841,71.516,81.649,100.0,65.943,-3.846,0.021,Property,1724,"              Date  Price   Open   High    Low     Vol. Change %
0     Nov 27, 2020  0.820  0.810  0.825  0.805    1.43M    1.23%
1     Nov 26, 2020  0.810  0.800  0.810  0.800  689.30K    0.62%
2     Nov 25, 2020  0.805  0.805  0.810  0.800  304.40K   -0.62%
3     Nov 24, 2020  0.810  0.810  0.820  0.790    1.01M    0.62%
4     Nov 23, 2020  0.805  0.795  0.820  0.795    1.17M    1.26%
...            ...    ...    ...    ...    ...      ...      ...
1192  Dec 04, 2015  1.660  1.610  1.670  1.610  135.40K    2.47%
1193  Dec 03, 2015  1.620  1.620  1.640  1.620  152.10K    0.00%
1194  Dec 02, 2015  1.620  1.630  1.630  1.620   10.00K    0.62%
1195  Dec 01, 2015  1.610  1.600  1.610  1.600   34.30K    0.00%
1196  Nov 30, 2015  1.610  1.610  1.610  1.610    4.80K    0.62%

[1197 rows x 7 columns]"
197,Parkson Holdings Bhd,PRKN,ORD,Services,Retail (Department & Discount),/equities/parkson-holdings-bhd,https://www.investing.com/equities/parkson-holdings-bhd-historical-data,41683,62,Kuala Lumpur,Malaysia,0.14,0.0,0.0,7.69,21.74,-36.36,-39.13,-74.31,0.3,0.065,-53.333333333333,115.38461538462,9.52,Strong Buy,Strong Buy,Strong Sell,Strong Sell,Strong Buy,Buy,Sell,153150000.0,8794100,53506989,,3250000000.0,-0.41,1.34,,,,0.05,21.97,21.97,0.1,0.47,-418.19,-237.78,,-29.02,-19.38,-2.76,-29.69,0.34,,,,6.55,,57.66,-4.51,0.24,-16.98,-2.75,-19.29,-6.41,0.74,0.88,310.41,376.84,,,,38.708,0.0125,0.016,54.2636,0.0,3.704,58.188,22.222,92.741,31.263,-50.0,0.0,Consumer,5657,"              Date   Price    Open    High     Low     Vol. Change %
0     Nov 27, 2020  0.1400  0.1450  0.1450  0.1350    8.79M    0.00%
1     Nov 26, 2020  0.1400  0.1350  0.1550  0.1350   79.40M   12.00%
2     Nov 25, 2020  0.1250  0.1300  0.1300  0.1250    4.01M    0.00%
3     Nov 24, 2020  0.1250  0.1350  0.1350  0.1250    3.76M   -3.85%
4     Nov 23, 2020  0.1300  0.1300  0.1400  0.1300   11.83M    0.00%
...            ...     ...     ...     ...     ...      ...      ...
1218  Dec 04, 2015  0.9810  0.9619  0.9810  0.9619    1.40M    0.99%
1219  Dec 03, 2015  0.9714  0.9619  0.9714  0.9619  895.54K    0.00%
1220  Dec 02, 2015  0.9714  0.9714  0.9714  0.9524  973.14K    0.00%
1221  Dec 01, 2015  0.9714  0.9619  0.9714  0.9619  569.41K   -0.98%
1222  Nov 30, 2015  0.9810  0.9810  0.9810  0.9524    1.97M    0.00%

[1223 rows x 7 columns]"
198,Parlo Bhd,PARL,ORD,Services,Personal Services,/equities/parlo-bhd,https://www.investing.com/equities/parlo-bhd-historical-data,1152964,62,Kuala Lumpur,Malaysia,0.47,8.05,8.05,3.3,-9.62,224.14,394.74,,0.575,0.025,-18.260869565217,1780.0,50.72,Neutral,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy,171100000.0,22658000,24933487,,98990000.0,-0.01,,,,,1.73,,13.55,14.23,16.66,-479.67,57.52,,-99.68,-39.09,,,3.64,,,,11.26,10.71,10.6,-4.57,-3.95,-4.69,-3.99,-5.2,-4.42,,1.6,19.88,72.52,,,,32.093,0.0379,0.072,160.6383,0.0321,11.905,57.16,50.0,94.749,48.479,-22.222,0.002,Consumer,0022,"             Date  Price  Open  High   Low    Vol. Change %
0    Nov 27, 2020   0.47  0.44  0.50  0.44  22.66M    8.05%
1    Nov 26, 2020   0.44  0.41  0.44  0.40  11.81M    8.75%
2    Nov 25, 2020   0.40  0.41  0.43  0.40   6.81M    0.00%
3    Nov 24, 2020   0.40  0.44  0.44  0.38   8.58M  -10.23%
4    Nov 23, 2020   0.44  0.46  0.47  0.41   7.28M   -3.30%
..            ...    ...   ...   ...   ...     ...      ...
616  Jan 25, 2018   0.17  0.16  0.17  0.16   3.25M    0.00%
617  Jan 24, 2018   0.17  0.17  0.17  0.16   4.08M    0.00%
618  Jan 23, 2018   0.17  0.19  0.19  0.17   1.17M   -5.56%
619  Jan 22, 2018   0.18  0.19  0.19  0.18   1.82M   -5.26%
620  Jan 19, 2018   0.19  0.19  0.20  0.19   5.10M    5.56%

[621 rows x 7 columns]"
199,Pasdec Holdings Bhd,PDEC,ORD,Capital Goods,Construction Services,/equities/pasdec-holdings-bhd,https://www.investing.com/equities/pasdec-holdings-bhd-historical-data,950457,62,Kuala Lumpur,Malaysia,0.21,5.0,5.0,0.0,5.0,-39.13,-38.24,-63.54,0.37,0.15,-43.243243243243,40.0,8.11,Strong Buy,Strong Buy,Neutral,Buy,Neutral,Strong Sell,Strong Sell,84080000.0,10800,237540,61.05,74530000.0,0.0,1.67,,,61.05,0.72,6.32,6.32,0.26,0.26,303.73,130.04,,-78.87,-145.61,-31.53,21.64,-0.04,-0.14,,,4.01,17.9,30.14,-10.94,-5.51,-16.57,-12.29,-14.78,-13.89,0.51,2.21,0.0,11.09,,,0.0,50.351,0.0075,0.004,22.5806,0.0,2.439,50.044,40.476,55.541,52.884,-57.143,-0.002,Property,6912,"              Date  Price   Open   High   Low     Vol. Change %
0     Nov 27, 2020   0.21  0.210  0.210  0.21   10.80K    5.00%
1     Nov 25, 2020   0.20  0.210  0.210  0.20  524.40K   -4.76%
2     Nov 24, 2020   0.21  0.210  0.210  0.21   30.00K    0.00%
3     Nov 23, 2020   0.21  0.210  0.210  0.21    5.00K    0.00%
4     Nov 20, 2020   0.21  0.215  0.215  0.21    3.60K   -2.33%
...            ...    ...    ...    ...   ...      ...      ...
1041  Dec 04, 2015   0.32  0.325  0.325  0.32   16.00K   -5.88%
1042  Dec 03, 2015   0.34  0.340  0.340  0.32   71.00K    3.03%
1043  Dec 02, 2015   0.33  0.330  0.330  0.33    7.00K    0.00%
1044  Dec 01, 2015   0.33  0.345  0.345  0.33   65.00K   -5.71%
1045  Nov 30, 2015   0.35  0.340  0.350  0.34   50.20K    0.00%

[1046 rows x 7 columns]"
200,Pasukhas Group Bhd,PASU,ORD,Capital Goods,Construction Services,/equities/pasukhas-group-bhd,https://www.investing.com/equities/pasukhas-group-bhd-historical-data,992884,62,Kuala Lumpur,Malaysia,0.08,0.0,0.0,-5.88,60.0,128.57,128.57,-38.46,0.19,0.01,-57.894736842105,700.0,-28.57,Strong Buy,Strong Buy,Strong Sell,Strong Buy,Buy,Strong Buy,Strong Buy,84470000.0,43362200,62985374,,15050000.0,-0.01,3.8,,,,5.61,,,1.1,1.42,-34.21,-2.17,,-71.97,-64.82,-6.77,112.69,0.1,13.48,,,0.33,23.89,10.84,-61.17,-5.4,-82.54,-7.97,-81.35,-8.14,1.75,1.77,24.79,59.23,,,,37.456,0.0111,0.008,15.6425,0.0,23.077,56.112,28.889,27.057,42.169,-66.667,0.003,Industrial Products,0177,"              Date  Price   Open   High    Low    Vol. Change %
0     Nov 27, 2020  0.080  0.080  0.085  0.075  43.36M    0.00%
1     Nov 26, 2020  0.080  0.080  0.085  0.075  32.50M    0.00%
2     Nov 25, 2020  0.080  0.080  0.085  0.075  33.41M    6.67%
3     Nov 24, 2020  0.075  0.080  0.080  0.075  16.29M   -6.25%
4     Nov 23, 2020  0.080  0.085  0.085  0.080  21.14M   -5.88%
...            ...    ...    ...    ...    ...     ...      ...
1112  Dec 04, 2015  0.136  0.144  0.148  0.136   9.73M   -8.11%
1113  Dec 03, 2015  0.148  0.144  0.152  0.140   3.08M    2.78%
1114  Dec 02, 2015  0.144  0.152  0.152  0.144   5.73M   -5.26%
1115  Dec 01, 2015  0.152  0.156  0.156  0.148   4.57M   -2.56%
1116  Nov 30, 2015  0.156  0.165  0.165  0.152   6.48M   -5.45%

[1117 rows x 7 columns]"
201,Pavilion Real Estate Inv Trust,PREI,REIT,Services,Real Estate Operations,/equities/pavilion-real-estate-inv-trust,https://www.investing.com/equities/pavilion-real-estate-inv-trust-historical-data,41674,62,Kuala Lumpur,Malaysia,1.49,-1.32,-1.32,-0.67,7.19,-14.37,-17.22,-9.7,1.82,1.35,-18.131868131868,10.37037037037,-9.74,Strong Sell,Strong Sell,Strong Sell,Neutral,Neutral,Sell,Strong Sell,4540000000.0,164800,360408,29.93,465330000.0,0.05,0.03,0.06,3.83,29.93,9.75,56.1,36.1,1.17,1.17,-46.17,-47.51,-12.6,-19.48,-20.65,7.8,-15.46,0.07,89.04,,,6.22,55.08,67.06,32.52,55.72,32.52,55.72,32.52,55.72,0.64,0.65,45.16,55.61,4.98,1.04,115.43,49.621,0.0264,0.044,78.3406,0.0029,7.971,55.435,82.738,54.405,65.705,-16.667,0.009,REITS,5212,"              Date  Price  Open  High   Low     Vol. Change %
0     Nov 27, 2020   1.49  1.51  1.51  1.49  164.80K   -1.32%
1     Nov 26, 2020   1.51  1.50  1.51  1.50  536.60K    0.67%
2     Nov 25, 2020   1.50  1.50  1.50  1.50  744.80K    0.67%
3     Nov 24, 2020   1.49  1.50  1.50  1.48   76.50K   -0.67%
4     Nov 23, 2020   1.50  1.50  1.50  1.49  192.80K    0.00%
...            ...    ...   ...   ...   ...      ...      ...
1217  Dec 04, 2015   1.55  1.53  1.57  1.53    1.64M    0.00%
1218  Dec 03, 2015   1.55  1.57  1.57  1.54  197.30K   -1.27%
1219  Dec 02, 2015   1.57  1.52  1.57  1.52  985.00K    3.29%
1220  Dec 01, 2015   1.52  1.54  1.55  1.52    1.54M   -0.65%
1221  Nov 30, 2015   1.53  1.54  1.55  1.53  626.40K    0.00%

[1222 rows x 7 columns]"
202,Pecca Group Bhd,PECC,ORD,Consumer Cyclical,Apparel/Accessories,/equities/pecca-group-bhd,https://www.investing.com/equities/pecca-group-bhd-historical-data,976500,62,Kuala Lumpur,Malaysia,1.51,-1.95,-1.95,0.67,4.14,38.53,22.76,3.42,1.65,0.675,-8.4848484848485,123.7037037037,10.69,Strong Sell,Strong Sell,Strong Sell,Neutral,Neutral,Strong Buy,Strong Buy,266910000.0,519600,1681137,33.09,102900000.0,0.05,0.73,0.05,3.07,33.09,2.71,202.85,19.79,1.72,1.83,-125.8,-49.56,-13.5,-57.72,-20.35,-4.18,,0.58,3.85,,,4.5,26.61,27.33,10.82,12.94,10.82,14.29,7.91,10.72,9.02,11.11,0.0,0.02,4.01,-2.46,98.0,14.954,0.0679,0.024,-31.8945,0.0,-5.031,50.773,41.667,16.445,56.694,-58.333,0.015,Industrial Products,5271,"              Date  Price  Open  High  Low     Vol. Change %
0     Nov 27, 2020    1.5   1.5   1.6  1.5  519.60K    0.00%
1     Nov 26, 2020    1.5   1.5   1.5  1.5  972.80K    4.05%
2     Nov 25, 2020    1.5   1.5   1.5  1.5  498.00K    0.00%
3     Nov 24, 2020    1.5   1.5   1.5  1.4    1.67M    0.00%
4     Nov 23, 2020    1.5   1.5   1.5  1.5  780.60K    0.00%
...            ...    ...   ...   ...  ...      ...      ...
1110  Apr 26, 2016    1.6   1.6   1.6  1.6    1.81M    0.00%
1111  Apr 25, 2016    1.6   1.6   1.6  1.6    3.71M    0.00%
1112  Apr 22, 2016    1.6   1.7   1.7  1.6    3.53M   -5.88%
1113  Apr 21, 2016    1.7   1.7   1.7  1.6    5.36M    0.00%
1114  Apr 20, 2016    1.7   1.7   1.7  1.7    5.30M    0.00%

[1115 rows x 7 columns]"
203,Pelangi Publishing Group Bhd,PPGB,ORD,Services,Printing & Publishing,/equities/pelangi-publishing-group,https://www.investing.com/equities/pelangi-publishing-group-historical-data,953644,62,Kuala Lumpur,Malaysia,0.305,0.0,0.0,0.0,-10.29,-10.29,-7.58,-45.05,0.425,0.23,-28.235294117647,32.608695652174,30.77,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Neutral,Strong Sell,29460000.0,0,49300,,54310000.0,-0.07,-0.11,0.01,3.28,18.08,0.56,187.84,44.0,0.31,0.33,-339.91,-1215.85,-18.42,-76.79,-18.11,1.36,-38.68,0.37,1.09,,,2.41,28.28,37.37,-9.96,6.64,-10.23,5.84,-12.61,3.12,1.08,2.1,10.83,12.57,,-10.18,58.32,86.549,0.0121,-0.03,-125.1171,-0.0243,-10.294,45.011,11.012,1.169,19.326,-100.0,0.005,Telco&Media,7190,"             Date  Price   Open   High    Low    Vol. Change %
0    Nov 26, 2020  0.305  0.305  0.305  0.305   2.70K   -3.17%
1    Nov 24, 2020  0.315  0.315  0.315  0.315  10.00K    0.00%
2    Nov 23, 2020  0.315  0.315  0.315  0.315   6.00K    3.28%
3    Nov 16, 2020  0.305  0.305  0.305  0.305   2.20K    0.00%
4    Nov 13, 2020  0.305  0.305  0.305  0.305   1.20K  -10.29%
..            ...    ...    ...    ...    ...     ...      ...
434  Dec 10, 2015  0.520  0.520  0.520  0.520   7.00K    0.00%
435  Dec 08, 2015  0.520  0.520  0.525  0.520  35.20K   -0.95%
436  Dec 07, 2015  0.525  0.560  0.560  0.525  17.50K   -6.25%
437  Dec 02, 2015  0.560  0.560  0.560  0.560   5.00K    0.00%
438  Dec 01, 2015  0.560  0.535  0.560  0.510  86.10K    0.00%

[439 rows x 7 columns]"
204,Pelikan International Corp,PELK,ORD,Consumer/Non-Cyclical,Office Supplies,/equities/pelikan-international-corp,https://www.investing.com/equities/pelikan-international-corp-historical-data,950458,62,Kuala Lumpur,Malaysia,0.305,5.17,5.17,0.0,19.61,-10.29,-1.61,-64.12,0.59,0.185,-48.305084745763,64.864864864865,-8.93,Strong Sell,Sell,Buy,Strong Buy,Strong Buy,Neutral,Strong Sell,183980000.0,29938400,7375143,,989270000.0,0.0,0.59,,,21.83,0.19,13.48,56.79,0.42,0.66,-0.27,-121.73,,-19.3,-8.23,-5.16,-1.76,0.68,,611.09,7.75,3.11,,53.29,2.67,3.49,0.68,1.56,0.02,0.06,0.65,1.09,32.3,117.4,,,0.0,34.248,0.0211,0.052,145.1853,0.0032,12.963,58.521,35.004,65.26,40.966,-38.462,0.004,Consumer,5231,"              Date  Price   Open   High    Low     Vol. Change %
0     Nov 27, 2020  0.305  0.305  0.330  0.300   29.94M    5.17%
1     Nov 26, 2020  0.290  0.280  0.295  0.275    3.39M    3.57%
2     Nov 25, 2020  0.280  0.280  0.290  0.275    3.03M    1.82%
3     Nov 24, 2020  0.275  0.295  0.300  0.275    3.88M   -6.78%
4     Nov 23, 2020  0.295  0.300  0.310  0.295    6.11M   -3.28%
...            ...    ...    ...    ...    ...      ...      ...
1129  Dec 04, 2015  0.825  0.820  0.825  0.815  131.80K   -1.79%
1130  Dec 03, 2015  0.840  0.820  0.840  0.815  309.50K    1.20%
1131  Dec 02, 2015  0.830  0.830  0.850  0.830  227.60K   -0.60%
1132  Dec 01, 2015  0.835  0.815  0.840  0.815   68.00K   -0.60%
1133  Nov 30, 2015  0.840  0.830  0.840  0.825   23.50K   -0.59%

[1134 rows x 7 columns]"
205,Pensonic Holdings Bhd,PENS,ORD,Consumer Cyclical,Appliance & Tool,/equities/pensonic-holdings-bhd,https://www.investing.com/equities/pensonic-holdings-bhd-historical-data,953636,62,Kuala Lumpur,Malaysia,0.555,7.77,7.77,20.65,29.07,70.77,63.24,-9.02,0.72,0.19,-22.916666666667,192.10526315789,-4.44,Neutral,Sell,Neutral,Strong Buy,Strong Buy,Strong Buy,Strong Buy,71970000.0,4059300,291560,12.89,295440000.0,0.04,1.12,,5.06,12.89,0.24,6.37,3.39,0.61,0.61,235.37,338.32,-30.47,22.18,-0.67,-6.19,9.7,1.12,4.26,,,5.69,16.63,19.09,3.53,3.05,2.16,1.67,1.8,1.05,0.9,1.35,32.69,70.67,,,0.0,20.167,0.0268,0.213,455.9163,0.0711,20.652,70.493,20.918,100.0,42.875,-43.59,0.013,Consumer,9997,"             Date  Price   Open   High    Low     Vol. Change %
0    Nov 27, 2020  0.555  0.535  0.640  0.535    4.06M    7.77%
1    Nov 26, 2020  0.515  0.490  0.525  0.490    1.04M   11.96%
2    Nov 25, 2020  0.460  0.465  0.465  0.460   16.00K   -1.08%
3    Nov 24, 2020  0.465  0.460  0.465  0.460  188.80K   -1.06%
4    Nov 23, 2020  0.470  0.470  0.470  0.470    5.30K    2.17%
..            ...    ...    ...    ...    ...      ...      ...
967  Dec 04, 2015  0.595  0.595  0.595  0.590  205.20K    0.00%
968  Dec 03, 2015  0.595  0.595  0.600  0.595   94.10K    0.00%
969  Dec 02, 2015  0.595  0.590  0.600  0.590   84.30K    0.00%
970  Dec 01, 2015  0.595  0.595  0.595  0.585   49.20K    0.85%
971  Nov 30, 2015  0.590  0.600  0.600  0.590  244.00K   -1.67%

[972 rows x 7 columns]"
206,Pentamaster Corporation Bhd,PMAS,ORD,Technology,Electronic Instr. & Controls,/equities/pentamaster-corporation-bhd,https://www.investing.com/equities/pentamaster-corporation-bhd-historical-data,950467,62,Kuala Lumpur,Malaysia,4.79,-0.42,-0.42,-2.84,-4.77,58.26,60.38,195.68,5.58,1.58,-14.15770609319,203.16455696203,4.79,Neutral,Neutral,Sell,Neutral,Strong Sell,Neutral,Strong Buy,3410000000.0,2417500,2723043,47.87,434530000.0,0.1,1.01,0.01,0.21,47.87,7.85,29.18,1496.51,6.99,8.03,-30.01,-10.26,75.51,-15.42,-8.78,43.32,59.19,0.57,5.1,735.24,191.0,4.93,35.4,32.85,27.87,22.87,27.53,22.77,25.98,21.38,5.71,6.02,0.56,0.63,,,9.96,37.109,0.1429,-0.162,-96.7038,-0.0736,-7.885,42.565,43.439,59.782,36.195,-59.322,-0.07,Technology,7160,"              Date  Price  Open  High   Low   Vol. Change %
0     Nov 27, 2020   4.79  4.84  4.89  4.73  2.42M   -0.42%
1     Nov 26, 2020   4.81  4.64  4.84  4.64  3.42M    4.57%
2     Nov 25, 2020   4.60  4.73  4.78  4.55  4.12M   -1.92%
3     Nov 24, 2020   4.69  4.90  4.92  4.65  5.01M   -4.29%
4     Nov 23, 2020   4.90  4.94  4.98  4.90  2.84M   -0.61%
...            ...    ...   ...   ...   ...    ...      ...
1218  Dec 04, 2015   0.33  0.33  0.33  0.33  1.83M    0.00%
1219  Dec 03, 2015   0.33  0.34  0.34  0.33  1.65M    0.00%
1220  Dec 02, 2015   0.34  0.34  0.34  0.34  1.27M    0.00%
1221  Dec 01, 2015   0.34  0.33  0.34  0.33  2.92M    2.10%
1222  Nov 30, 2015   0.33  0.34  0.34  0.33  1.94M   -2.92%

[1223 rows x 7 columns]"
207,Perak Corporation Bhd,PERA,ORD,Transportation,Misc. Transportation,/equities/perak-corporation-bhd,https://www.investing.com/equities/perak-corporation-bhd-historical-data,960842,62,Kuala Lumpur,Malaysia,0.18,0.0,0.0,-7.69,0.0,-52.0,-43.75,-87.05,0.47,0.09,-61.702127659574,100.0,-7.69,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Sell,Strong Sell,18000000.0,0,45543,,138630000.0,-0.03,1.89,,,12.16,0.13,0.54,0.93,0.08,0.09,420.48,-110.19,-48.26,-29.43,-9.91,-2.17,2.36,0.17,0.36,,,2.01,54.57,60.87,2.26,-28.59,-11.85,-30.0,-22.78,-42.05,0.3,0.55,32.91,233.84,,,0.0,25.966,0.0154,-0.005,-82.0513,-0.0071,-2.703,49.44,36.806,0.0,43.01,-75.0,0.004,Transportation&Logistics,8346,"             Date  Price  Open   High    Low     Vol. Change %
0    Nov 24, 2020  0.180  0.20  0.200  0.165   83.20K   -7.69%
1    Nov 17, 2020  0.195  0.19  0.200  0.190  102.00K    2.63%
2    Nov 16, 2020  0.190  0.19  0.195  0.190   56.00K    0.00%
3    Nov 12, 2020  0.190  0.18  0.190  0.180  196.90K    5.56%
4    Nov 10, 2020  0.180  0.18  0.180  0.180   20.00K    0.00%
..            ...    ...   ...    ...    ...      ...      ...
772  Dec 07, 2015  2.620  2.63  2.630  2.620   15.40K    0.00%
773  Dec 04, 2015  2.620  2.62  2.620  2.620   22.00K    0.00%
774  Dec 03, 2015  2.620  2.66  2.660  2.620   20.00K   -1.50%
775  Dec 01, 2015  2.660  2.61  2.660  2.610   45.70K    0.38%
776  Nov 30, 2015  2.650  2.68  2.680  2.600  172.90K   -1.49%

[777 rows x 7 columns]"
208,Perak Transit Bhd,PERT,ORD,Transportation,Misc. Transportation,/equities/perak-transit-bhd,https://www.investing.com/equities/perak-transit-bhd-historical-data,991207,62,Kuala Lumpur,Malaysia,0.265,-3.64,-3.64,-5.36,8.16,12.77,3.92,-5.36,0.33,0.125,-19.69696969697,112.0,-15.52,Strong Sell,Strong Sell,Neutral,Strong Sell,Neutral,Neutral,Strong Buy,505590000.0,4886800,17289341,9.7,116900000.0,0.03,2.15,0.01,2.83,9.7,4.39,,,1.1,1.12,62.34,32.11,2.34,8.05,-2.75,9.92,42.06,0.17,51.08,,,2.83,60.65,70.18,47.18,37.09,34.74,29.21,34.81,28.67,2.36,2.37,57.03,63.13,,43.05,31.32,49.969,0.0107,0.006,23.7288,0.0,6.0,49.703,55.159,20.442,44.267,-57.143,0.002,Consumer,0186,"              Date  Price   Open   High    Low    Vol. Change %
0     Nov 27, 2020  0.265  0.275  0.275  0.265   4.89M   -3.64%
1     Nov 26, 2020  0.275  0.270  0.280  0.265   5.08M    1.85%
2     Nov 25, 2020  0.270  0.270  0.275  0.265   3.70M    0.00%
3     Nov 24, 2020  0.270  0.275  0.280  0.265   5.64M   -1.82%
4     Nov 23, 2020  0.275  0.285  0.285  0.270  20.40M   -1.79%
...            ...    ...    ...    ...    ...     ...      ...
1009  Oct 13, 2016  0.133  0.144  0.148  0.129  75.61M   -7.64%
1010  Oct 12, 2016  0.144  0.140  0.148  0.140  32.06M   -2.70%
1011  Oct 11, 2016  0.148  0.144  0.148  0.140  16.22M    5.71%
1012  Oct 10, 2016  0.140  0.152  0.156  0.137  52.47M   -7.89%
1013  Oct 07, 2016  0.152  0.160  0.164  0.148  83.66M   -7.32%

[1014 rows x 7 columns]"
209,Perdana Petroleum Bhd,PTRD,ORD,Energy,Oil Well Services & Equipment,/equities/perdana-petroleum,https://www.investing.com/equities/perdana-petroleum-historical-data,1123082,62,Kuala Lumpur,Malaysia,0.155,0.0,0.0,6.9,29.17,-60.76,-54.41,,0.555,0.1,-72.072072072072,55.0,-20.0,Strong Sell,Sell,Neutral,Strong Buy,Strong Buy,Strong Sell,Strong Sell,343280000.0,5802000,13569608,,236150000.0,-0.03,,,,15.79,1.45,8.3,6.46,0.39,0.39,-165.52,-101.46,,-39.99,-1.61,-7.12,-44.32,0.19,123.35,,,4.62,6.38,12.58,-2.84,-11.33,-12.57,-39.08,-21.18,-39.76,1.06,1.08,10.24,12.7,,,,39.38,0.0114,0.012,97.2222,0.0021,29.167,57.819,65.556,54.901,60.937,-25.0,0.003,Energy,7108,"             Date  Price   Open   High    Low    Vol. Change %
0    Nov 27, 2020  0.155  0.155  0.160  0.150   5.80M    0.00%
1    Nov 26, 2020  0.155  0.165  0.165  0.155  21.38M   -3.12%
2    Nov 25, 2020  0.160  0.155  0.165  0.155  78.45M    3.23%
3    Nov 24, 2020  0.155  0.155  0.155  0.145  15.41M    0.00%
4    Nov 23, 2020  0.155  0.145  0.155  0.140  20.75M    6.90%
..            ...    ...    ...    ...    ...     ...      ...
715  Dec 26, 2017  0.320  0.330  0.330  0.315   6.97M   -1.54%
716  Dec 22, 2017  0.325  0.310  0.345  0.310  24.12M    4.84%
717  Dec 21, 2017  0.310  0.320  0.340  0.285  36.88M  -13.89%
718  Dec 20, 2017  0.360  0.370  0.390  0.360   9.13M    0.00%
719  Dec 19, 2017  0.360  0.450  0.510  0.360  38.30M  -45.45%

[720 rows x 7 columns]"
